国籍,身高,年龄,俱乐部,位置,体重,姓名,号码,生日,惯用脚
中国,188CM,27岁,广州恒大淘宝,守门员,82KG,刘殿座,32号,1990-06-26,右脚
中国,191CM,30岁,广州恒大淘宝,守门员,83KG,曾诚,19号,1987-01-08,右脚
中国,176CM,17岁,广州恒大淘宝,后卫,68KG,陈泉江(U23),44号,2000-07-10,右脚
中国,180CM,21岁,广州恒大淘宝,后卫,72KG,陈泽鹏(U23),37号,1996-05-18,右脚
中国,185CM,24岁,广州恒大淘宝,后卫,77KG,王上源,12号,1993-06-02,右脚
中国,184CM,28岁,广州恒大淘宝,后卫,74KG,梅方,3号,1989-11-14,右脚
韩国,184CM,27岁,广州恒大淘宝,后卫,74KG,金英权,28号,1990-02-27,左脚
中国,186CM,28岁,广州恒大淘宝,后卫,78KG,张琳芃,5号,1989-05-09,右脚
中国,185CM,29岁,广州恒大淘宝,后卫,76KG,李学鹏,35号,1988-09-18,右脚
中国,183CM,30岁,广州恒大淘宝,后卫,75KG,张成林,21号,1987-01-20,右脚
中国,180CM,30岁,广州恒大淘宝,后卫,72KG,荣昊,14号,1987-04-07,右脚
中国,178CM,29岁,广州恒大淘宝,后卫,70KG,邹正,25号,1988-02-07,右脚
中国,187CM,32岁,广州恒大淘宝,后卫,78KG,冯潇霆,6号,1985-10-22,右脚
中国,177CM,18岁,广州恒大淘宝,中场,65KG,温家宝(U23),38号,1999-01-02,右脚
中国,181CM,20岁,广州恒大淘宝,中场,65KG,邓宇彪(U23),36号,1997-06-08,右脚
中国,179CM,23岁,广州恒大淘宝,中场,75KG,徐新(U23),4号,1994-04-19,右脚
中国,177CM,20岁,广州恒大淘宝,中场,63KG,冯博轩(U23),34号,1997-03-18,右脚
中国,180CM,24岁,广州恒大淘宝,中场,70KG,廖力生,2号,1993-04-29,右脚
中国,180CM,33岁,广州恒大淘宝,中场,70KG,刘健,17号,1984-08-20,右脚
中国,177CM,30岁,广州恒大淘宝,中场,65KG,黄博文,16号,1987-07-13,右脚
巴西,181CM,26岁,广州恒大淘宝,中场,80KG,高拉特,11号,1991-06-05,右脚
中国,181CM,37岁,广州恒大淘宝,中场,75KG,郑智,10号,1980-08-20,右脚
中国,185CM,22岁,广州恒大淘宝,前锋,71KG,王靖斌(U23),26号,1995-05-09,右脚
中国,178CM,29岁,广州恒大淘宝,中场,75KG,郑龙,27号,1988-04-15,右脚
中国,178CM,30岁,广州恒大淘宝,中场,65KG,于汉超,20号,1987-02-25,右脚
中国,177CM,30岁,广州恒大淘宝,前锋,63KG,张文钊,15号,1987-05-28,右脚
巴西,182CM,28岁,广州恒大淘宝,前锋,75KG,阿兰,7号,1989-07-10,右脚
巴西,171CM,31岁,广州恒大淘宝,前锋,64KG,穆里奇,30号,1986-06-16,右脚
